区域,北京,餐饮类型,火锅,店铺id,1816984255,店铺名称,巴渝老灶重庆火锅,经度,116.15033,纬度,39.804535
用户,星级,评论
舒心心xin,5.0,服务不错 ，调料也是自己喜欢啥做啥口味的，两个人吃撑了也没有吃完，还赠了一个鸭血，喜欢，今天吃饭留个橙子🍊在桌上，祝老板心想事“橙”
匿名用户,4.0,味道不错，服务好。环境好
CHj544797452,5.0,好吃得不得了，味道超级正宗。强烈推荐。
匿名用户,5.0,很是实惠，味道没得说，辣的喷香，推荐品尝，吃过一次就想下一次，老重庆火锅的味道，猪脑，鸭血必吃，棒极了😏
匿名用户,2.0,写着25一份的肉结果上来就三片肉，一点也不值，一次不会再去了，毛肚也咬不动，抢了好几份，都退了
区域,北京,餐饮类型,火锅,店铺id,1467844,店铺名称,福口居（北太平庄店）,经度,116.363456,纬度,39.967347
用户,星级,评论
Auj991328979,5.0,"【口味】好想念的味道，面后第一次吃.早就馋福口居羊肉了
【消毒】很正规.如图，测体温登记，出示健康码否则不让进啊
今天是他家20年店庆.我是第六桌送了肉品菜品大礼包，据说开餐前十桌才送的，家门口从小吃到大的火锅店.不多说，开的时间比我年龄还大"
岁月神偷在熙,5.0,这家店前前后后来了快五六年了，总是忘不了这口味道，他家的小火锅也是铜锅，所以吃起来特别有味道，买了他家的两个套餐，量大小合适，两盘肉，一盘羊肉一盘牛肉，你大盘蔬菜拼盘还有菌类拼盘，番茄锅最好吃，酸酸的特别入味，蘸料和饮料还限量，真的不错！
QHR188601449,5.0,口感还不错。
JiU186606687,5.0,挺好的，分量也不错，离师大很近，适合小聚
dk3572a,5.0,美团团购的，价廉物美，菜品很足，品种齐全，肉的品质也不错，两个人吃不了，剩下很多，下回还会再来的。
领子665,5.0,菜品不错，味道还是一如既往的好，就是豆浆现在没有了。疫情期间人没有以前那么多了。吃饭体验挺好。
M海马马马马,4.0,实在是好吃。太好了老来吃了，一周一次。点赞👍3号服务员💁
周小蘭蘭蘭蘭,5.0,不错不错 味道好极了
ZZQCY9999,5.0,特别棒 第五次来了 超级超级好
匿名用户,5.0,环境很好，以后有机会还会继续光临
匿名用户,5.0,环境很好，以后有机会还会继续光临
KKK吃吃,5.0,很棒，好吃，很满意~
小马酥酥,2.0,一般般不好吃。就是服务，环境，价格还行，味道很一般。
听雨的拖油瓶,5.0,以前经常来的，尤其适合大家庭聚会，非常满意。
_qq8h61393076937,5.0,挺好的哟，疫情之前去的，羊肉挺好吃的～
屈彦奇008,5.0,"首先这是一条很认真的评价。
先要感谢013号阿姨的热情服务和帮助，每次来都让我有种回家的感觉。特意从大兴区带老同学来吃福口居火锅。初雪和火锅很配哦。
福口居的羊肉新鲜不膻，来自内蒙古锡林郭勒盟西乌珠穆沁旗。作为一个来自内蒙古锡林郭勒的草原汉子，对羊肉的品质要求很高，这里让我很满意。北京离锡林郭勒500多公里，能在这里吃到家乡的味道，款待老友，畅谈许久。
尤其是秘制牛肉丸，绝对是值得推荐的一道，太好吃啦！
送了果盘和糖果，很贴心。
如果你也幸运的在北京，幸运的看到了福口居火锅，不妨进来品尝一下，我保证你还想再来。
再次感谢013号阿姨，爱你哦
附一张和老同学的合影"
匿名用户,5.0,菜品新鲜足量，服务周到热情，味道好极了，蘸酱确实独特。
wang740914,4.0,老友相聚，看着还不错就来了，果然来对了，专门还给宝宝赠送了鸡蛋羹，超赞，下次还会再来，老字号值得相信，最后还打包了，饮料多种选择，适合不同人群，衣服冬季就餐衣物专门有收纳的地方，还不会染上火锅的味道，服务贴心。
goldfine,5.0,味道还是那个味道，感觉还是那个感觉，不错的选择
craceyang,5.0,第一回来福口居吃饭，真心不错。进门后环境就很讲究，肉很嫩，蔬菜拼盘啥的量也足，炸灌肠外焦里嫩，很棒，小铜锅涮肉看着也很讲究，饮料还是随便和且味道很好，还赠送了盘乾隆白菜，很好吃，服务很好，很及时的收空盘和添水，完全不亚于海底捞。我们吃着这顿就开始计划下顿了，饭后还赠送小布丁冰棍。
匿名用户,5.0,口味好，环境不错，服务一流，团的券，量大都没吃完，实惠，还送了一个凉拌菜，不错，推荐大家前来品尝，定会满意。
狂啸的风,1.0,肉时间长，不新鲜，味道差劲，不好吃，服务员告诉我说，套餐就这样，肉品差，要想吃新鲜肉，就得单独再点贵的
MtH579688682,5.0,非常不错，物美价廉，服务到位
豹小会1994,3.0,整体感觉一般般把，但是价格不算贵，口味也还行。
北上JN,5.0,老北京铜火锅，服务周到，菜品较多，菜量充足。
匿名用户,5.0,"【环境】环境很古朴，有老北京风味。同时餐厅里面很干净，地面和桌子都有特色。主要是，离我们挺近的hhh。
【服务】服务非常贴心。给我们头绳，将包包盖起来，手机的塑料袋子也有配备。如果锅底水不够让加，会很快过来。不用提醒也会将我们放在架子上的用过的餐盘主动收走。
【口味】铜锅味道很好，牛羊肉都很好吃。我们几个人甚至都没有吃完，量还ok哒。上菜的时候还会给我们祝福。
小料除了选择可以加一些调料，种类很全。旁边有小零食可供选择。
饮料有多种，我们尝了两种，酸梅汤，赞。
快要吃完的时候，可能因为是夏天，送了西瓜。还给我们一人一个小布丁。呜呜呜谢谢。很好的体验。"
匿名用户,4.0,看到推荐才来的，味道还不错，服务周到，价格实惠，推荐来品尝 #极品羊肉# #精品肥牛# #秘制酸梅汤#
Annie啦,4.0,"这家店真的是无论周内周末都需要排队，所以如果要去还是尽量提前排队，我们大学等位一个小时十分钟，五点四十到福口居的吧。
        之前吃过，味道不错，有免费饮料和小吃，不过这次去免费小吃只有一样，种类变少了。菜量还是很大，我们团了四人餐，三女     一男，还剩了一些菜。
         有一个缺点，桌子太小，菜摆上去很慢，体验稍微差一点。
         不过还是推荐大家去品尝，也希望福口居的服务可以再继续改进，我们也会一如既往地支持~哈哈"
安子丑,5.0,挺好吃的呀 选的麻酱蘸料  还可以 但我又打了辣辣的蘸料 哈哈哈哈 好吃 份量超级无敌巨足 四个女生 把肉吃完了就很饱了 还有蔬菜盘 菌菇盘 好多的菜菜   服务的姐姐人也很好 还给我们送了水果 很热情的 还有几种自助的饮料小吃可以选择 走的时候还给我们送了雪糕 棒👍
tianzhiyuan72,2.0,很一般，没啥特色，蔬菜不是鲜嫩
vOn99027605,3.0,团的券，挺实惠的。环境很好，服务员也比较周到。小锅煮，火大了容易崩到。
HyJ469983507,1.0,点菜服务员态度太差！太差！！服务差服务差
VHb764200437,5.0,用的129那个套餐 说的是两个人实际上两个人完全吃不下 建议三个人吃
匿名用户,4.0,还可以
ElvanHsiao,4.0,服务超级好～吃的人超级多～等位用了一个小时我会乱说…………🤣🤣🤣
十年桃夭,3.0,性价比挺高的，俩人去点个套餐完全吃到撑。环境也ok，下次想试试手切羊肉~
compass066,4.0,服务好，干净卫生，我生日还送了生日礼物和长寿面以及果盘，服务细心
TGj951465821,5.0,"013
【服务】服务热情周到、贴心很满意！
【环境】
【口味】"
xza914528653,4.0,除了菜品份量少以外，其它方面都不错。
xza914528653,4.0,环境优雅，服务热情，份量还行
milede,5.0,013的姐姐服务态度很好 羊肉很好吃😋 超级超级棒
DbA153601213,5.0,服务态度非常好，饮品不限量。
lhl10,5.0,非常周到 非常满意13号服务员服务意识积极主动
匿名用户,1.0,服务超差，碗上面都是污渍不说，还要等位等到了别人还在排队就说打烊了，我都不明白你们服务员怎么培训的
dNB324419205,5.0,"013阿姨的服务特别好，宾至如归，特别贴心，体验特别好。
阿姨服务热情，考虑周到，还很贴心，送上了果盘，冰棍，糖果。
火锅的话点的套餐很实惠，三个老爷们没有吃完，羊肉也不错，没有腥味，"
MvR945947797,4.0,不知为什么这次培根质量不好，基本上就是淀粉做的。
ZGz456383568,4.0,味道不错，还不算贵
ltc640770846,5.0,服务态度特别好，013大姐特别热情，牛羊肉丸子双拼特别好吃，肉也特别好，有特别便宜，
爱生活的侨妹,5.0,太棒了！明天还去
changjiang1002,3.0,整体来说还不错，味道可以，菜品新鲜，希望后期卫生也在提高一下。
mmq695979367,5.0,BT-17服务员服务非常的好！
911YH185,5.0,很满意。服务员服务很到位，态度很好！！！
太阳花邮箱,5.0,北太平庄福口居服务周到，细致体贴，菜品可口，环境优雅舒服，还有免费的停车位，一楼的环境就很好啦，没想到二楼的环境更好，这里特别感谢工号为013的大姐服务特别贴心，还给孩子们拿来孩子们喜欢的贴画和玩具，给个大大的好评！
MYR913171940,5.0,味道很不错，值得推荐，有机会还会再去
KING771231,5.0,肉特别好吃🙈阿姨服务挺好的，蘑菇真的给了好多好多！013阿姨服务特别好
zfI995093389,5.0,美团也是够他妈的狠的！我原来有摩拜单车会员卡，也有大众点评餐饮点单。愣是被它坑蒙拐骗到美团APP注册会员，注册完了还说我的身份证已经注册过了，还是无法联通大众点评和摩拜单车！在美团点买了团购餐饮使用后仍然无法打通！更奇葩的是找遍整个APP竟然找不到反馈意见交互的入口！只有反馈意见以后才会在我的反馈里面体现！这就像王兴他爸没有生他，却要问王兴的儿子是男是女！！！
二乔哈,5.0,第一次来 服务真的蛮好的 口味也不错推荐
匿名用户,3.0,还可以、环境很好、服务还可以、味道整体只能说中规中矩，人均不高，今天团的2人餐，外点一份手打牛肉丸🍡，没吃完打包回来了
Xsi726683880,5.0,"非常好吃 服务态度也很好 上菜有点慢，人很多
羊肉有腥味，牛肉很好吃"
tyH340582897,5.0,111号服务员服务非常周到！！
捏捏可达鸭,5.0,013号阿姨很热情，服务很好，给我们乘果汁，小吃，还赠了我们一盘果盘，雪糕。环境也很舒适，高端，肉也很好吃，下次还会再来。
立正向前走i,5.0,虽然吃饭过程中出了点小插曲，但是店员处理的很好，店里服务员也很热情，强烈推荐
QUz537556136,5.0,口味好服务周到性价比高，强烈推荐
匿名用户,5.0,太棒啦！
sOj669894713,5.0,店里环境古香古色，013号服务员特别亲切贴心
GRZ144019342,5.0,"013
【服务】很好周到 
【环境】不错"
Kts942685031,4.0,"突然意识到手擀面没上！！！天啊！
服务挺好"
古式菜鸟,4.0,服务很周到，就是人太多了，等位置要等很久，要有思想准备，饭菜性价比很高。
qfH783419063,5.0,很不错
匿名用户,4.0,味道不错，服务很好！
匿名用户,3.0,"【口味】还行，麻将8元一份，其他的自己调
【环境】还可以，适合小聚一下
【服务】优
【等位】看时间和天气情况定"
匿名用户,5.0,03号服务员姐姐巨热情，菜品也很好，👍👍👍👍
CKY512871996,4.0,非常好👍
俭约生活,4.0,俩人点了4个肉，果然吃撑了。一如既往的好，每次过生日都来
匿名用户,2.0,套餐很不好呀，菌类太多了。我平时是很喜欢吃菌类的，但今天还是剩了很多。
NzL649192923,5.0,服务好羊肉火锅好吃 #秘制酸梅汤# #麻酱小料# #极品羊肉# #精品肥牛# #宽粉# #火锅# #蔬菜拼盘# #特价肥牛# #菌类拼盘#
逍遥游789,5.0,菜品味道不错，服务态度特别好，服务人员特别热情
匿名用户,5.0,来了很多次啦，013的阿姨服务态度特别好，特别亲切，让人有一种回家的感觉，店里羊肉的味道特别正宗，木耳特别好吃，菜品都不错，推荐大家来~ #秘制酸梅汤# #极品羊肉# #蔬菜拼盘#
匿名用户,5.0,很棒，工号013阿姨很热情，很周到。菜量很足，满意。
感悟人生gy,5.0,非常好吃，服务热情周到，环境舒适
芳丫丫丫,5.0,经常去他家  一如既往的好  菜品新鲜  服务贴心  环境优雅 #宽粉# #菜汁面# #大拌菜# #手打鱼滑# #麻团# #牛腱子#
nHB242522470,4.0,服务热情、周到，环境不错、上菜快、肉类品质有保障，还会专的。
匿名用户,5.0,013号大姐服务特别热情周到，菜品质优价廉，棒！
守候与维一,5.0,爸爸刚来北京，今天带爸爸出来吃点好吃，所以选择了这家店，之前跟朋友一起来过，所以今天带爸爸过来，刚坐下，服务员就过来给我们点餐，点完餐，菜一会儿就上了，上菜速度挺快的，特别是服务员工号066态度特别好，也特别周到，看到她不停的在忙，挺辛苦的，女孩也特别好，下次还会推荐朋友过来，
匿名用户,5.0,菜品好、价格实惠，服务👌，已经连续吃三次了，强烈推荐
uan797720236,5.0,太划算了，阿姨服务态度也特别好，送了我们一份凉菜，买单后又送了我们每个人一个冰激淋小布丁，下次还来哈哈
zh51037,4.0,肉质细嫩鲜美，服务热情周到，环境优雅。
gUw102619839,5.0,工号013的姐姐很热心、很体贴哦，店里停电了还帮我们拿雪糕吃，送了水果盘，大赞，下次来北京必须还来！！！ #极品羊肉# #精品肥牛# #麻酱小料#
不许流泪836,5.0,不错，很满意，口味也挺正的，里面还有小吃，饮料！服务周到，013号服务员服务挺好的，很及时帮忙加汤，询问的菜单也很仔细！经常来这家吃饭，门口有停车位！
VUK835348275,5.0,013大姐服务特别周到，强烈推荐
邹豆豆123,5.0,体验感💯。传统京味火锅。香辣味好好吃。006 号员工超贴心，交流中得知是暑期兼职的学生，新员工都培训地这么棒！饭后送了果盘和小布丁雪糕。超级满意！
Bvp403260434,4.0,对于四个大小伙子来说套餐里的菜有点多，要是能换成肉就好了
诸葛笨笨121,5.0,013超级好，太好吃，服务堪比海底捞，分量超级足，还剩了好多
